182.0	0.0034455082774681564	15.0	1.1359286550963528	1.0301569840290048	1.0844335538803254	1.1198491999647129	1.0817311192388654	1.1728363740161194	1.198672604718377	1.1614058326643395	1.3727926440872043	1.3358598302303037
393.0	0.0003939722690102679	15.0	1.13593723365483	1.0301595261255527	1.0844405520091946	1.1198503253081074	1.0817267730687603	1.1728358370116934	1.198658027770337	1.1614017620078247	1.372798304128128	1.3358615229676818
579.0	8.19305999226571e-5	15.0	1.1359366352691838	1.0301595054508532	1.0844406952567422	1.1198501984731297	1.0817266788190363	1.1728357107559046	1.198657882320548	1.1614015804583342	1.372798861742539	1.335861792757011
762.0	1.9238600618744225e-5	15.0	1.1359366173053675	1.0301595074655918	1.0844406981278505	1.119850192804282	1.0817266668488423	1.1728356996647529	1.1986578709243818	1.161401580614979	1.3727988817524095	1.3358618071383523
969.0	1.0469166334274319e-5	15.0	1.1359366172247125	1.0301595089382125	1.0844406986105308	1.1198501945025785	1.0817266673185464	1.1728356997530527	1.1986578721786805	1.1614015809723457	1.3727988783052258	1.33586180554009
1153.0	2.803928921102414e-6	15.0	1.1359366170287826	1.0301595089011264	1.084440698244515	1.1198501943040406	1.0817266671348704	1.1728356996803557	1.198657872637615	1.161401580920729	1.3727988785270067	1.3358618057256084
1353.0	2.2376123959617654e-6	15.0	1.1359366169896778	1.0301595089708235	1.0844406983267312	1.1198501942966832	1.0817266671445511	1.172835699638766	1.1986578726464798	1.1614015809251002	1.372798878458472	1.3358618057065015
1569.0	7.023572408734515e-7	15.0	1.1359366169618026	1.030159508997415	1.0844406983065185	1.1198501942891133	1.0817266671597743	1.1728356996238651	1.1986578726530424	1.161401580928329	1.3727988784531742	1.335861805705669
1742.0	4.2140070255116683e-7	15.0	1.135936616963715	1.0301595089993325	1.0844406983045884	1.1198501942900192	1.0817266671582062	1.1728356996243994	1.1986578726577957	1.1614015809288445	1.372798878450882	1.3358618057035951
1986.0	1.4578990135451582e-7	15.0	1.1359366169628469	1.0301595089993119	1.084440698304358	1.1198501942896435	1.0817266671578345	1.1728356996243574	1.1986578726568415	1.161401580929065	1.3727988784521796	1.335861805703788
